,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,distance_to_beach,distance_to_center,distance_to_airport
0,0,0,0,0,0,4.1,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,5,16.0484714,108.2406022, An Thượng 18,Mỹ An,ngũ hành sơn,1.963053599086896,3.3373555285958,4.173249433381312
1,1,1,1,1,1,3.3,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,2,16.0595231,108.179155, Trường Chinh,Hòa An,cẩm lệ,7.342261974734708,3.4761945440084063,2.528594798354249
2,2,2,2,2,2,15.0,153.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,27.0,3,16.0756243,108.2319079, Ngô Quyền,An Hải Bắc,sơn trà,2.0522137939375127,2.796568797472516,3.733505998421484
3,3,3,3,3,3,6.5,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,14.0,7.0,1,16.0334743,108.2218767, Tiên Sơn 10,Hòa Cường Nam,hải châu,4.4308393785108064,3.098364942182785,3.3360939696302885
4,4,4,4,4,4,11.0,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,5,16.0766319,108.2329889, Hoàng Đức Lương,An Hải Bắc,sơn trà,2.0285804698849543,2.956690879373904,3.8913844027825344
5,5,5,5,5,5,7.2,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,16.0366455,108.2211218, Tiên Sơn 8,Hòa Cường Nam,hải châu,4.214947052772332,2.7419693794412834,3.013796631241829
6,6,6,6,6,6,2.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,15.9921331,108.2064071, Huỳnh Tịnh Của,Xã Hòa Châu,hòa vang,9.176493365212188,7.4940639923443,7.213283757067011
7,7,7,7,7,7,3.5,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,16.0494345,108.1483198, Huỳnh Thị Bảo Hòa,Hòa Khánh Nam,liên chiểu,10.754737983679991,6.869715018951979,5.878732249688591
8,8,8,8,8,8,4.7,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,16.0199418,108.207474, Lưu Nhân Chú,Khuê Trung,cẩm lệ,6.567421705172774,4.418387202068741,4.156857940946859
9,9,9,9,9,9,25.0,313.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,48.0,4,16.0705872,108.1527666, Tôn Đức Thắng,Hòa Khánh Bắc,liên chiểu,10.161087742443131,6.414493194001564,5.540379991525375
