Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,distance_to_beach,distance_to_center,distance_to_airport,log_prices,log_area,log_floors,log_width,log_length,log_distance_to_beach,log_distance_to_center
4.1,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,5,16.0484714,108.2406022, An Thượng 18,Mỹ An,ngũ hành sơn,1.963053599086896,3.3373555285958,4.173249433381312,1.410986973710262,4.0943445622221,1.6094379124341003,1.5040773967762742,2.70805020110221,0.6745012196015866,1.2051787354773253
3.3,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,2,16.0595231,108.179155, Trường Chinh,Hòa An,cẩm lệ,7.342261974734708,3.4761945440084063,2.528594798354249,1.1939224684724346,4.499809670330265,0.6931471805599453,1.6094379124341003,2.8903717578961645,1.993646966096295,1.2459381736184825
15.0,153.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,27.0,3,16.0756243,108.2319079, Ngô Quyền,An Hải Bắc,sơn trà,2.0522137939375127,2.796568797472516,3.733505998421484,2.70805020110221,5.030437921392435,1.0986122886681098,1.791759469228055,3.295836866004329,0.718919109960032,1.0283932362543946
6.5,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,14.0,7.0,1,16.0334743,108.2218767, Tiên Sơn 10,Hòa Cường Nam,hải châu,4.4308393785108064,3.098364942182785,3.3360939696302885,1.8718021769015913,4.499809670330265,0.0,2.6390573296152584,1.9459101490553132,1.4885890420705488,1.1308745343411937
11.0,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,5,16.0766319,108.2329889, Hoàng Đức Lương,An Hải Bắc,sơn trà,2.0285804698849543,2.956690879373904,3.8913844027825344,2.3978952727983707,4.605170185988092,1.6094379124341003,1.6094379124341003,2.995732273553991,0.7073362725275103,1.08407069681057
7.2,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,16.0366455,108.2211218, Tiên Sơn 8,Hòa Cường Nam,hải châu,4.214947052772332,2.7419693794412834,3.013796631241829,1.9740810260220096,4.605170185988092,1.0986122886681098,1.6094379124341003,2.995732273553991,1.4386370297550708,1.0086764138426423
2.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,15.9921331,108.2064071, Huỳnh Tịnh Của,Xã Hòa Châu,hòa vang,9.176493365212188,7.4940639923443,7.213283757067011,1.0647107369924282,4.605170185988092,0.6931471805599453,1.6094379124341003,2.995732273553991,2.216645145296697,2.014111239478926
3.5,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,16.0494345,108.1483198, Huỳnh Thị Bảo Hòa,Hòa Khánh Nam,liên chiểu,10.754737983679991,6.869715018951979,5.878732249688591,1.252762968495368,4.605170185988092,0.6931471805599453,1.6094379124341003,2.995732273553991,2.3753464001430578,1.9271226234163583
4.7,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,16.0199418,108.207474, Lưu Nhân Chú,Khuê Trung,cẩm lệ,6.567421705172774,4.418387202068741,4.156857940946859,1.547562508716013,4.605170185988092,1.0986122886681098,1.6094379124341003,2.995732273553991,1.8821213209492476,1.4857747430925754
25.0,313.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,48.0,4,16.0705872,108.1527666, Tôn Đức Thắng,Hòa Khánh Bắc,liên chiểu,10.161087742443131,6.414493194001564,5.540379991525375,3.2188758248682006,5.746203190540153,1.3862943611198906,1.9459101490553132,3.871201010907891,2.3185654976837755,1.858559991673343
