price,area,road_width,floors,bedroom,loc,garage
3.8,50.0,7.0,2.0,2.0,"Đường Trần Hưng Đạo, Phường Nại Hiên Đông, Quận Sơn Trà,",0
9.7,100.0,6.0,2.0,3.0,"Đường Trần Tống, Phường Thạc Gián, Quận Thanh Khê,",1
24.0,18.0,75.0,3.0,3.0,"Đường Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà,",1
25.5,165.0,75.0,1.0,1.0,"Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
24.0,30.0,30.0,5.0,14.0,"Đường Trần Hưng Đạo, Phường Nại Hiên Đông, Quận Sơn Trà,",0
28.0,165.0,75.0,1.0,1.0,"Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn,",1
6.05,100.0,75.0,2.0,3.0,"Đường Giang Châu 1, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
24.0,147.0,15.0,3.0,3.0,"Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu,",1
5.6,90.0,75.0,3.0,4.0,"Đường Lê Đại Hành, Phường Khuê Trung, Quận Cẩm Lệ,",0
20.5,170.0,15.0,1.0,1.0,"Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà,",1
6.0,86.0,75.0,3.0,3.0,"Đường Phó Đức Chính, Phường An Hải Bắc, Quận Sơn Trà,",0
35.5,140.0,30.0,3.0,10.0,"Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn,",1
10.5,15.0,75.0,2.0,4.0,"Đường Đặng Vũ Hỷ, Phường An Hải Đông, Quận Sơn Trà,",1
8.3,95.0,75.0,5.0,11.0,"Đường Trịnh Lỗi, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
5.3,96.0,5.0,3.0,4.0,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà,",0
4.65,63.0,55.0,2.0,3.0,"Đường Phan Bôi, Phường An Hải Đông, Quận Sơn Trà,",0
6.5,41.0,33.0,3.0,3.0,"Đường 3/2, Phường Thuận Phước, Quận Hải Châu,",1
2.75,51.0,25.0,4.0,3.0,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
4.5,100.0,75.0,3.0,4.0,"Đường Nguyễn Như Hạnh, Phường Hòa Minh, Quận Liên Chiểu,",1
15.5,90.0,10.0,5.0,5.0,"Đường Dương Tự Minh, Phường Phước Mỹ, Quận Sơn Trà,",1
13.7,80.0,10.0,4.0,4.0,"Đường Trịnh Công Sơn, Phường Hòa Cường Bắc, Quận Hải Châu,",1
11.5,156.0,75.0,4.0,6.0,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",1
6.0,80.0,6.0,1.0,1.0,"Đường Thạch Lam, Phường Phước Mỹ, Quận Sơn Trà,",0
5.19,94.0,75.0,2.0,6.0,"Đường Đào Công Chính, Phường Khuê Trung, Quận Cẩm Lệ,",0
11.0,90.0,10.0,5.0,12.0,"Đường Tôn Thất Đạm, Phường Xuân Hà, Quận Thanh Khê,",1
3.95,74.0,4.0,1.0,2.0,"Đường Thuận An 4, Phường Chính Gián, Quận Thanh Khê,",0
7.6,115.0,55.0,5.0,8.0,"Đường Sơn Thủy 2, Phường Hòa Hải, Quận Ngũ Hành Sơn,",1
7.0,80.0,7.0,1.0,3.0,"Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà,",0
10.5,70.0,5.0,3.0,3.0,"Đường An Thượng 5, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
1.379,60.0,3.0,1.0,1.0,"Đường Ngô Xuân Thu, Phường Hòa Hiệp Bắc, Quận Liên Chiểu,",1
4.25,100.0,5.0,2.0,3.0,"Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu,",0
5.9,65.0,55.0,2.0,2.0,"Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu,",0
7.5,113.0,7.0,3.0,3.0,"Đường Đinh Văn Chấp, Phường Hòa Xuân, Quận Cẩm Lệ,",0
5.55,90.0,75.0,3.0,3.0,"Đường Đỗ Đăng Tuyển, Phường Khuê Trung, Quận Cẩm Lệ,",0
15.3,60.0,27.0,3.0,3.0,"Đường Trần Hưng Đạo, Phường Nại Hiên Đông, Quận Sơn Trà,",1
7.95,16.0,10.0,2.0,3.0,"Đường Hà Tông Quyền, Phường Khuê Trung, Quận Cẩm Lệ,",0
9.65,100.0,7.0,2.0,3.0,"Đường Trần Tống, Phường Thạc Gián, Quận Thanh Khê,",1
4.7,68.0,4.0,4.0,5.0,"Đường Trần Cao Vân, Phường Tân Chính, Quận Thanh Khê,",0
6.5,15.0,33.0,2.0,3.0,"Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu,",0
5.4,93.0,75.0,2.0,4.0,"Đường Nguyễn Trung Trực, Phường An Hải Bắc, Quận Sơn Trà,",0
5.75,93.0,8.0,2.0,4.0,"Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Đông, Quận Thanh Khê,",0
3.55,100.0,55.0,2.0,2.0,"Đường Phong Bắc 9, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
5.65,70.0,75.0,3.0,4.0,"Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ,",1
2.89,40.0,3.0,2.0,2.0,"Đường Yên Bái, Phường Phước Ninh, Quận Hải Châu,",0
3.2,51.0,37.0,1.0,2.0,"Đường An Hải 15, Phường An Hải Bắc, Quận Sơn Trà,",0
5.05,56.0,4.0,1.0,3.0,"Đường An Thượng 28, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
25.0,130.0,75.0,3.0,3.0,"Đường Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà,",0
2.75,58.0,3.0,1.0,2.0,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê,",0
4.2,75.0,5.0,1.0,3.0,"Đường Tân Thái 6, Phường Mân Thái, Quận Sơn Trà,",0
10.5,15.0,25.0,3.0,3.0,"Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê,",1
10.0,100.0,10.0,3.0,4.0,"Đường Nguyễn Thông, Phường An Hải Tây, Quận Sơn Trà,",0
13.0,110.0,15.0,4.0,4.0,"Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu,",0
13.7,68.0,4.0,2.0,9.0,"Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
6.5,80.0,5.0,1.0,1.0,"Đường Thạch Lam, Phường Phước Mỹ, Quận Sơn Trà,",0
9.92,14.0,75.0,1.0,1.0,"Đường Đặng Vũ Hỷ, Phường An Hải Đông, Quận Sơn Trà,",1
16.0,600.0,75.0,8.0,15.0,"Đường Nguyễn Trọng Nghĩa, Phường An Hải Bắc, Quận Sơn Trà,",1
7.868,100.0,75.0,4.0,5.0,"Đường Phạm Phú Tiết, Phường Khuê Trung, Quận Cẩm Lệ,",1
7.699,100.0,75.0,3.0,3.0,"Đường Lý Nhân Tông, Phường Khuê Trung, Quận Cẩm Lệ,",1
69.0,90.0,11.0,7.0,27.0,"Đường Hoàng Sa, Phường Thọ Quang, Quận Sơn Trà,",1
3.8,65.0,5.0,1.0,2.0,"Đường Ngũ Hành Sơn, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
9.5,1.0,20.0,1.0,2.0,"Đường Phùng Hưng, Phường Thanh Khê Tây, Quận Thanh Khê,",1
7.1,90.0,55.0,3.0,2.0,"Đường An Thượng 21, Phường Mỹ An, Quận Ngũ Hành Sơn,",1
4.7,188.0,6.0,4.0,4.0,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,",0
7.0,81.0,8.0,1.0,2.0,"Đường Nguyễn Khoái, Phường Hòa Cường Bắc, Quận Hải Châu,",1
2.9,116.0,6.0,1.0,1.0,"Đường Nguyễn Nhàn, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
10.9,8.0,55.0,5.0,8.0,"Đường Nguyễn Đình, Phường Phước Mỹ, Quận Sơn Trà,",1
6.35,95.0,75.0,2.0,4.0,"Đường Tân Thái 10, Phường Mân Thái, Quận Sơn Trà,",0
7.8,96.0,7.0,2.0,2.0,"Đường Tố Hữu, Phường Hòa Cường Nam, Quận Hải Châu,",1
7.6,74.0,7.0,4.0,3.0,"Đường Lương Nhữ Hộc, Phường Hòa Cường Nam, Quận Hải Châu,",1
1.55,51.0,3.0,2.0,2.0,"Đường Nam Ô, Phường Hòa Hiệp Nam, Quận Liên Chiểu,",0
6.8,79.0,55.0,4.0,4.0,"Đường Phan Bôi, Phường An Hải Bắc, Quận Sơn Trà,",1
10.0,75.0,56.0,5.0,16.0,"Đường Huy Cận, Phường Hòa Cường Nam, Quận Hải Châu,",1
4.95,73.0,4.0,2.0,3.0,"Đường Đặng Thùy Trâm, Phường Hòa Thuận Tây, Quận Hải Châu,",0
8.6,75.0,75.0,3.0,3.0,"Đường Lê Đình Lý, Phường Hòa Thuận Đông, Quận Hải Châu,",1
4.3,100.0,55.0,2.0,2.0,"Đường Phong Bắc 11, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
2.3,70.0,5.0,1.0,2.0,"Đường Nguyễn Công Trứ, Phường An Hải Đông, Quận Sơn Trà,",0
13.5,10.0,5.0,5.0,11.0,"Đường Thạch Lam, Phường Phước Mỹ, Quận Sơn Trà,",1
6.75,70.0,5.0,2.0,3.0,"Đường An Thượng 15, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
14.0,18.0,5.0,2.0,4.0,"Đường Thạch Lam, Phường Phước Mỹ, Quận Sơn Trà,",0
5.5,56.0,55.0,2.0,3.0,"Đường Phạm Tu, Phường Phước Mỹ, Quận Sơn Trà,",0
17.5,110.0,30.0,2.0,4.0,"Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Đông, Quận Hải Châu,",1
14.5,180.0,10.0,2.0,5.0,"Đường Chương Dương, Phường Mỹ An, Quận Ngũ Hành Sơn,",1
4.8,76.0,35.0,2.0,3.0,"Đường Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà,",0
5.9,138.0,75.0,2.0,4.0,"Đường Trường Chinh, Phường An Khê, Quận Thanh Khê,",0
4.3,100.0,8.0,3.0,4.0,"Đường Hồ Xuân Hương, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
11.0,105.0,8.0,2.0,3.0,"Đường Lương Nhữ Hộc, Phường Hòa Cường Bắc, Quận Hải Châu,",1
2.3,195.0,5.0,2.0,3.0,"Đường ĐT 605, Xã Hòa Châu, Huyện Hòa Vang,",0
17.99,13.0,10.0,3.0,5.0,"Đường Chu Văn An, Phường Hải Châu I, Quận Hải Châu,",0
17.5,101.0,75.0,3.0,4.0,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà,",1
4.9,61.0,35.0,3.0,4.0,"Đường Cô Giang, Phường Phước Ninh, Quận Hải Châu,",0
11.5,100.0,10.0,3.0,4.0,"Đường Nguyễn Hữu Dật, Phường Hòa Cường Bắc, Quận Hải Châu,",1
8.9,73.0,10.0,3.0,2.0,"Đường Chính Hữu, Phường An Hải Bắc, Quận Sơn Trà,",1
5.3,90.0,5.0,2.0,3.0,"Đường Dương Quảng Hàm, Phường Hòa Cường Nam, Quận Hải Châu,",0
7.5,90.0,7.0,3.0,3.0,"Đường Nguyễn Bình, Phường Hòa Cường Nam, Quận Hải Châu,",1
9.5,18.0,5.0,3.0,5.0,"Đường Tống Phước Phổ, Phường Hòa Cường Bắc, Quận Hải Châu,",1
11.9,115.0,24.0,2.0,4.0,"Đường Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ,",1
5.0,87.0,7.0,1.0,2.0,"Đường Nguyễn Phước Nguyên, Phường Hòa Khê, Quận Thanh Khê,",0
7.5,65.0,5.0,5.0,9.0,"Đường Cao Xuân Dục, Phường Thuận Phước, Quận Hải Châu,",1
8.3,106.0,5.0,3.0,3.0,"Đường An Thượng 22, Phường Mỹ An, Quận Ngũ Hành Sơn,",1
12.7,88.0,7.0,3.0,4.0,"Đường Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà,",0
15.0,99.0,15.0,3.0,4.0,"Đường Chính Hữu, Phường An Hải Bắc, Quận Sơn Trà,",0
15.5,170.0,7.0,2.0,4.0,"Đường Đặng Vũ Hỷ, Phường An Hải Đông, Quận Sơn Trà,",0
5.3,90.0,5.0,2.0,3.0,"Đường Dương Quảng Hàm, Phường Hòa Cường Nam, Quận Hải Châu,",0
8.9,73.0,10.0,3.0,2.0,"Đường Chính Hữu, Phường An Hải Bắc, Quận Sơn Trà,",0
7.5,90.0,7.0,3.0,3.0,"Đường Nguyễn Bình, Phường Hòa Cường Nam, Quận Hải Châu,",0
5.8,75.0,5.0,2.0,3.0,"Đường Bế Văn Đàn, Phường Chính Gián, Quận Thanh Khê,",0
13.0,138.0,10.0,2.0,5.0,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,",0
13.0,138.0,11.0,2.0,4.0,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,",1
10.7,117.0,7.0,3.0,10.0,"Đường Hồ Nguyên Trừng, Phường Khuê Trung, Quận Cẩm Lệ,",0
18.0,130.0,15.0,1.0,1.0,"Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu,",1
14.0,11.0,11.0,7.0,10.0,"Đường Xuân Diệu, Phường Thuận Phước, Quận Hải Châu,",1
32.0,30.0,35.0,5.0,5.0,"Đường Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ,",1
15.0,69.0,15.0,5.0,5.0,"Đường Đống Đa, Phường Thạch Thang, Quận Hải Châu,",1
8.3,84.0,75.0,3.0,4.0,"Đường Thanh Thủy, Phường Thanh Bình, Quận Hải Châu,",1
17.5,100.0,7.0,3.0,6.0,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà,",0
