price,area,road_width,floors,bedroom,loc,garage
": 12,8 tỷ","80 m
2","5,5m",5 lầu,6 phòng ngủ,"Đường Ngọc Hân, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
": 5,9 tỷ","68 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường An Cư 2, Phường An Hải Bắc, Quận Sơn Trà,",0
": 21,5 tỷ","207 m
2","5,5m",2 lầu,4 phòng ngủ,"Đường Lương Thế Vinh, Phường An Hải Đông, Quận Sơn Trà,",0
": 5,45 tỷ","65 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường An Nhơn 7, Phường An Hải Bắc, Quận Sơn Trà,",0
": 6,5 tỷ","100 m
2",11m,3 lầu,2 phòng ngủ,"Đường Dương Vân Nga, Phường Nại Hiên Đông, Quận Sơn Trà,",0
": 4,5 tỷ","85 m
2","2,5m",4 lầu,6 phòng ngủ,"Đường Nguyễn Đức Trung, Phường Hòa Khê, Quận Thanh Khê,",0
": 5,6 tỷ","136 m
2",4m,3 lầu,4 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 3,33 tỷ","43 m
2",3m,4 lầu,2 phòng ngủ,"Đường Lê Độ, Phường Chính Gián, Quận Thanh Khê,",0
": 3,05 tỷ","60 m
2","3,5m",1 lầu,3 phòng ngủ,"Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê,",0
": 4,3 tỷ","52 m
2",3m,4 lầu,4 phòng ngủ,"Đường Hoàng Thúc Trâm, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 3,5 tỷ","55 m
2",3m,4 lầu,3 phòng ngủ,"Đường Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê,",0
": 4,15 tỷ","76 m
2",3m,3 lầu,8 phòng ngủ,"Đường Hoàng Hoa Thám, Phường Tân Chính, Quận Thanh Khê,",0
": 4,4 tỷ","65 m
2",3m,3 lầu,4 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu,",0
": 1,39 tỷ","20 m
2",3m,2 lầu,2 phòng ngủ,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu,",0
": 3,9 tỷ","55 m
2",3m,3 lầu,3 phòng ngủ,"Đường Lê Độ, Phường Chính Gián, Quận Thanh Khê,",0
": 4,55 tỷ","59 m
2",3m,3 lầu,4 phòng ngủ,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê,",0
": 3,4 tỷ","112 m
2","3,5m",1 lầu,2 phòng ngủ,"Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
": 3,6 tỷ","90 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Độ, Phường Chính Gián, Quận Thanh Khê,",0
: 6 tỷ,"90 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Nguyễn Đình Trân, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 5,05 tỷ","56 m
2","3,5m",1 lầu,3 phòng ngủ,"Đường An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 2,9 tỷ","50 m
2",2m,2 lầu,3 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 3,4 tỷ","77 m
2",4m,1 lầu,3 phòng ngủ,"Đường Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu,",0
": 3,99 tỷ","70 m
2",4m,3 lầu,3 phòng ngủ,"Đường Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
": 2,25 tỷ","50 m
2","2,5m",2 lầu,3 phòng ngủ,"Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ,",0
": 3,5 tỷ","43 m
2","4,5m",3 lầu,4 phòng ngủ,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,",0
": 3,55 tỷ","93 m
2",3m,2 lầu,3 phòng ngủ,"Đường Yên Khê 2, Phường Thanh Khê Đông, Quận Thanh Khê,",0
": 12,8 tỷ","322 m
2",4m,3 lầu,3 phòng ngủ,"Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 4,9 tỷ","76 m
2",3m,2 lầu,3 phòng ngủ,"Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 4,65 tỷ","75 m
2",4m,3 lầu,3 phòng ngủ,"Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 6,6 tỷ","139 m
2",4m,4 lầu,16 phòng ngủ,"Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Tây, Quận Thanh Khê,",0
": 8,5 tỷ","85 m
2",8m,5 lầu,9 phòng ngủ,"Đường Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê,",0
": 5,3 tỷ","96 m
2",7m,3 lầu,6 phòng ngủ,"Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu,",0
": 2,59 tỷ","40 m
2",3m,2 lầu,2 phòng ngủ,"Đường Nguyễn Chí Thanh, Phường Hải Châu I, Quận Hải Châu,",0
": 3,5 tỷ","50 m
2",6m,2 lầu,2 phòng ngủ,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 3,9 tỷ","51 m
2",3m,3 lầu,3 phòng ngủ,"Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê,",0
": 9,5 tỷ","133 m
2",4m,3 lầu,3 phòng ngủ,"Đường Ngũ Hành Sơn, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 1,95 tỷ","61 m
2",3m,1 lầu,2 phòng ngủ,"Đường Hoàng Minh Thảo, Phường Hòa Minh, Quận Liên Chiểu,",0
": 3,75 tỷ","106 m
2","4,5m",2 lầu,2 phòng ngủ,"Đường Phan Khoang, Phường Hòa An, Quận Cẩm Lệ,",chỗ để xe
": 3,5 tỷ","70 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường Lưu Nhân Chú, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 4,1 tỷ","75 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Đội Cung, Phường Khuê Trung, Quận Cẩm Lệ,",0
: 16 tỷ,"123 m
2",11m,6 lầu,12 phòng ngủ,"Đường Dương Vân Nga, Phường Nại Hiên Đông, Quận Sơn Trà,",chỗ để xe
": 5,2 tỷ","97 m
2",4m,3 lầu,8 phòng ngủ,"Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 7,9 tỷ","94 m
2","7,5m",4 lầu,6 phòng ngủ,"Đường Bùi Thị Xuân, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
": 6,3 tỷ","103 m
2","7,5m",4 lầu,10 phòng ngủ,"Đường Nguyễn Như Hạnh, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
: 9 tỷ,"130 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Nguyễn Thiện Kế, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 7,6 tỷ","115 m
2","7,5m",5 lầu,8 phòng ngủ,"Đường Sơn Thủy 2, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
: 12 tỷ,"100 m
2",33m,7 lầu,11 phòng ngủ,"Đường Diên Hồng, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 3,5 tỷ","55 m
2","5,5m",2 lầu,2 phòng ngủ,"Đường An Trung 7, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
": 3,79 tỷ","75 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Hoà Minh 14, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
": 5,45 tỷ","145 m
2",30m,1 lầu,3 phòng ngủ,"Đường Nguyễn Lương Bằng, Phường Hòa Hiệp Nam, Quận Liên Chiểu,",chỗ để xe
": 2,25 tỷ","36 m
2","2,5m",3 lầu,3 phòng ngủ,"Đường Hải Phòng, Phường Bình Thuận, Quận Hải Châu,",0
": 2,8 tỷ","100 m
2","5,5m",1 lầu,1 phòng ngủ,"Đường Bình Thái 4, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 5,4 tỷ","82 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Nguyễn Đăng Đạo, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 5,5 tỷ","100 m
2","7,5m",1 lầu,2 phòng ngủ,"Đường Lý Triện, Phường Thanh Khê Tây, Quận Thanh Khê,",chỗ để xe
: 6 tỷ,"81 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Ngô Thị Liễu, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 3,8 tỷ","84 m
2",3m,2 lầu,2 phòng ngủ,"Đường Lý Thái Tông, Phường Thanh Khê Đông, Quận Thanh Khê,",0
": 3,5 tỷ","55 m
2",3m,2 lầu,2 phòng ngủ,"Đường Lê Tấn Trung., Phường An Hải Đông, Quận Sơn Trà,",0
": 2,6 tỷ","86 m
2","2,5m",2 lầu,3 phòng ngủ,"Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Tây, Quận Thanh Khê,",0
": 2,55 tỷ","90 m
2",5m,1 lầu,2 phòng ngủ,"Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",chỗ để xe
": 2,2 tỷ","100 m
2","2,5m",1 lầu,5 phòng ngủ,"Đường Nguyễn Lương Bằng, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",0
": 8,9 tỷ","112 m
2",10m,4 lầu,5 phòng ngủ,"Đường Nguyễn Lộ Trạch, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
: 3 tỷ,"55 m
2","4,5m",2 lầu,4 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,",chỗ để xe
": 5,3 tỷ","81 m
2",4m,1 lầu,2 phòng ngủ,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 5,3 tỷ","81 m
2",11m,2 lầu,3 phòng ngủ,"Đường Trần Hữu Trang, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
: 19 tỷ,"200 m
2","7,5m",3 lầu,6 phòng ngủ,"Đường Hoàng Đức Lương, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 4,7 tỷ","65 m
2",6m,3 lầu,3 phòng ngủ,"Đường Bùi Tá Hán, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
": 11,5 tỷ","156 m
2","7,5m",4 lầu,6 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 4,7 tỷ","62 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Đinh Công Tráng, Phường Thuận Phước, Quận Hải Châu,",chỗ để xe
": 4,85 tỷ","60 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Hưng Hóa, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 9,5 tỷ","50 m
2",10m,5 lầu,6 phòng ngủ,"Đường Nguyễn Chí Thanh, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
: 15 tỷ,"140 m
2","7,5m",7 lầu,23 phòng ngủ,"Đường Lương Văn Can, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 6,15 tỷ","96 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Lý Triện, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 5,2 tỷ","56 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường An Cư, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 5,5 tỷ","100 m
2",10m,2 lầu,3 phòng ngủ,"Đường Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 3,45 tỷ","55 m
2",4m,2 lầu,2 phòng ngủ,"Đường An Trung, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
