price,area,road_width,floors,bedroom,loc,garage
": 6,08 tỷ","90 m
2",5m,3 lầu,3 phòng ngủ,"Đường Bàu Năng 1, Phường Hòa Minh, Quận Liên Chiểu,",0
": 2,5 tỷ","123 m
2",6m,2 lầu,3 phòng ngủ,"Đường Nguyễn Duy Trinh, Phường Hòa Hải, Quận Ngũ Hành Sơn,",chỗ để xe
": 3,8 tỷ","54 m
2","2,5m",3 lầu,3 phòng ngủ,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu,",chỗ để xe
": 2,45 tỷ","46 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Nguyễn Hoàng, Phường Nam Dương, Quận Hải Châu,",0
": 3,72 tỷ","53 m
2",7m,3 lầu,3 phòng ngủ,"Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 2,98 tỷ","119 m
2",0m,,,"Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Tây, Quận Thanh Khê,",0
": 2,75 tỷ","39 m
2","2,5m",2 lầu,3 phòng ngủ,"Đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê,",0
": 8,9 tỷ","135 m
2","5,5m",4 lầu,9 phòng ngủ,"Đường Lê Duẩn, Phường Hải Châu I, Quận Hải Châu,",chỗ để xe
": 5,6 tỷ","72 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 15,5 tỷ","120 m
2","5,5m",4 lầu,16 phòng ngủ,"Đường Lê Thị Xuyến, Phường Chính Gián, Quận Thanh Khê,",chỗ để xe
": 8,6 tỷ","76 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Hoàng Sĩ Khải, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 5,8 tỷ","75 m
2","4,5m",3 lầu,3 phòng ngủ,"Đường Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
": 7,25 tỷ","76 m
2","7,5m",4 lầu,4 phòng ngủ,"Đường Hưng Hóa 4, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 8,9 tỷ","80 m
2",10m,3 lầu,3 phòng ngủ,"Đường Hà Huy Tập, Phường Chính Gián, Quận Thanh Khê,",chỗ để xe
": 5,2 tỷ","118 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Đinh Tiên Hoàng, Phường Thanh Bình, Quận Hải Châu,",chỗ để xe
": 4,25 tỷ","90 m
2",7m5m,1 lầu,2 phòng ngủ,"Đường Đinh Đức Thiện, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
": 12,7 tỷ","88 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Dương Đình Nghệ, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 5,9 tỷ","100 m
2",5m,2 lầu,3 phòng ngủ,"Đường Mỹ An 22, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 5,6 tỷ","70 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
: 18 tỷ,"129 m
2",15m,1 lầu,2 phòng ngủ,"Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu,",0
": 12,7 tỷ","88 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Dương Đình Nghệ, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 5,9 tỷ","100 m
2",5m,2 lầu,3 phòng ngủ,"Đường Mỹ An 22, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 5,6 tỷ","70 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
: 18 tỷ,"129 m
2",15m,1 lầu,2 phòng ngủ,"Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu,",0
": 3,45 tỷ","100 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Huỳnh Thị Bảo Hòa, Phường Hòa Khánh Nam, Quận Liên Chiểu,",chỗ để xe
": 2,55 tỷ","65 m
2",3m,1 lầu,2 phòng ngủ,"Đường Lê Văn Thứ, Phường Mân Thái, Quận Sơn Trà,",0
: 25 tỷ,"200 m
2",10m,5 lầu,15 phòng ngủ,"Đường Huỳnh Tấn Phát, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
: 9 tỷ,"96 m
2",10m,2 lầu,3 phòng ngủ,"Đường Trần Thủ Độ, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 5,5 tỷ","79 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Nguyễn Thị Bảy, Phường Thanh Khê Tây, Quận Thanh Khê,",chỗ để xe
": 2,35 tỷ","50 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê,",0
": 1,67 tỷ","64 m
2","2,5m",1 lầu,3 phòng ngủ,"Đường Tôn Đức Thắng, Phường Hòa Khánh Nam, Quận Liên Chiểu,",0
": 2,68 tỷ","60 m
2",3m,2 lầu,3 phòng ngủ,"Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê,",0
": 3,35 tỷ","70 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê,",0
": 5,55 tỷ","155 m
2",7m,2 lầu,1 phòng ngủ,"Đường Trần Ngọc Sương, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",chỗ để xe
": 3,85 tỷ","105 m
2",5m,,2 phòng ngủ,"Đường Võ Duy Ninh, Phường Thọ Quang, Quận Sơn Trà,",chỗ để xe
": 8,5 tỷ","215 m
2","2,5m",1 lầu,1 phòng ngủ,"Đường Lê Văn Thứ, Phường Mân Thái, Quận Sơn Trà,",0
": 18,2 tỷ","185 m
2",10m,1 lầu,1 phòng ngủ,"Đường Nguyễn Đức An, Phường Phước Mỹ, Quận Sơn Trà,",0
": 4,15 tỷ","57 m
2",25m,3 lầu,3 phòng ngủ,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 5,75 tỷ","85 m
2","5,5m",4 lầu,4 phòng ngủ,"Đường Bàu Năng 5, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
": 4,55 tỷ","150 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",chỗ để xe
": 5,75 tỷ","85 m
2","5,5m",4 lầu,4 phòng ngủ,"Đường Bàu Năng 5, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
": 4,55 tỷ","150 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",chỗ để xe
": 3,2 tỷ","70 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường Lương Khánh Thiện, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
": 4,65 tỷ","70 m
2",5m,3 lầu,3 phòng ngủ,"Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê,",0
": 2,75 tỷ","39 m
2","2,5m",2 lầu,3 phòng ngủ,"Đường Hùng Vương, Phường Chính Gián, Quận Thanh Khê,",0
": 2,73 tỷ","196 m
2","5,5m",1 lầu,3 phòng ngủ,"Đường Thanh Vinh 4, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",chỗ để xe
": 4,3 tỷ","48 m
2",5m,3 lầu,3 phòng ngủ,"Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu,",chỗ để xe
": 13,5 tỷ","70 m
2",10m,3 lầu,7 phòng ngủ,"Đường Lê Đình Thám, Phường Hòa Thuận Đông, Quận Hải Châu,",chỗ để xe
