,area,price,num_of_stories,num_of_bedrooms,num_of_toilets
0,46.0,8.0,4,4.0,4.0
1,47.0,3.15,3,3.0,2.0
2,490.0,,2,2.0,2.0
3,552.0,24.0,2,4.0,
4,5000.0,,,,
5,600.0,360.0,19,,
6,180.0,41.0,,30.0,30.0
7,108.0,18.5,,,
8,115.0,7.0,7,6.0,7.0
9,67.8,5.7,,2.0,
10,100.0,3.3,2,2.0,2.0
11,88.0,,3,4.0,4.0
12,100.0,4.5,3,3.0,2.0
13,80.0,5.4,1,2.0,1.0
14,106.0,4.72,2,3.0,3.0
15,106.0,4.72,2,3.0,3.0
16,100.0,6.6,2,3.0,3.0
17,100.0,6.6,2,3.0,3.0
18,31.0,2.29,2,2.0,2.0
19,31.0,2.29,2,2.0,2.0
20,130.0,,,2.0,2.0
21,31.0,2.29,2,2.0,2.0
22,130.0,,,2.0,2.0
23,100.0,3.15,1,2.0,1.0
24,100.0,4.9,3,3.0,3.0
25,70.8,7.05,,2.0,2.0
26,74.3,7.2,3,,
27,85.0,3.39,3,3.0,3.0
28,54.0,2.95,2,2.0,2.0
29,132.16,11.5,,2.0,2.0
30,100.0,6.2,3,3.0,4.0
31,272.0,62.0,10,32.0,32.0
32,92.0,6.15,2,5.0,
33,80.0,6.5,3,4.0,4.0
34,80.0,6.5,3,4.0,4.0
35,120.0,14.5,4,5.0,7.0
36,71.4,4.7,1,3.0,1.0
37,40.0,2.58,2,1.0,2.0
38,68.0,2.7,2,3.0,2.0
39,186.0,6.7,2,4.0,4.0
40,54.0,2.95,2,2.0,2.0
41,79.9,3.61,,2.0,1.0
42,100.0,6.2,3,3.0,4.0
43,272.0,62.0,10,32.0,32.0
44,66.6,8.13,,2.0,2.0
45,92.0,6.15,2,5.0,
46,85.0,3.39,3,3.0,3.0
47,54.0,2.95,2,2.0,2.0
48,95.9,6.38,,3.0,3.0
49,100.0,6.2,3,3.0,4.0
50,272.0,62.0,10,32.0,32.0
51,50.0,5.25,2,2.0,2.0
52,50.0,5.25,2,2.0,2.0
53,80.0,6.5,3,4.0,4.0
54,120.0,14.5,4,5.0,7.0
55,71.4,4.7,1,3.0,1.0
56,40.0,2.58,2,1.0,2.0
57,68.0,2.7,2,3.0,2.0
58,186.0,6.7,2,4.0,4.0
59,100.0,5.9,1,1.0,1.0
60,190.0,26.0,5,15.0,17.0
61,100.0,5.95,2,3.0,2.0
62,537.0,,2,2.0,2.0
63,77.0,5.775,,2.0,2.0
64,116.0,6.25,3,3.0,4.0
65,122.0,41.0,10,22.0,24.0
66,43.0,3.33,4,2.0,
67,50.0,2.2,1,,1.0
68,48.6,2.92,,2.0,1.0
69,250.0,,,5.0,5.0
70,250.0,,,5.0,5.0
71,600.0,,3,3.0,3.0
72,250.0,16.89,1,1.0,1.0
73,55.0,6.9,3,3.0,2.0
74,81.0,5.55,3,3.0,3.0
75,111.0,18.8,6,,
76,111.0,18.8,6,,
77,212.0,11.9,1,1.0,1.0
78,121.0,2.85,2,3.0,3.0
79,68.0,4.25,3,4.0,4.0
80,105.0,6.9,3,4.0,4.0
81,60.0,4.5,4,4.0,5.0
82,67.8,,,2.0,2.0
83,60.0,9.0,4,7.0,7.0
84,180.0,14.5,,,
85,252.0,12.5,3,6.0,6.0
86,49.4,2.6182,,1.0,1.0
87,64.0,8.5,4,,
88,120.0,2.5,2,3.0,2.0
89,235.0,70.0,2,1.0,1.0
90,80.1,3.45,,,
91,100.0,,3,3.0,
92,100.0,6.4,3,4.0,3.0
93,55.0,4.15,3,4.0,4.0
94,110.0,5.2,2,3.0,2.0
95,105.0,39.0,4,5.0,5.0
96,69.0,7.7,4,5.0,4.0
97,132.0,8.9,3,3.0,3.0
98,69.0,7.7,4,5.0,4.0
99,132.0,8.9,3,3.0,3.0
100,150.0,6.2,4,2.0,1.0
101,90.0,4.2,1,2.0,1.0
102,49.5,,,1.0,1.0
103,110.0,7.6,3,3.0,3.0
104,130.0,14.5,3,6.0,6.0
105,292.0,5.4,2,5.0,3.0
106,247.0,8.2,2,3.0,2.0
107,76.0,,4,5.0,5.0
108,125.0,9.0,,,
109,134.6,9.5,3,5.0,5.0
110,50.0,,4,4.0,4.0
111,84.0,6.8,3,3.0,3.0
112,80.0,3.25,2,3.0,4.0
113,300.0,,,3.0,4.0
114,62.0,2.3,1,1.0,1.0
115,300.0,,,,
116,315.0,27.5,2,17.0,17.0
117,80.0,3.25,2,3.0,4.0
118,300.0,,,3.0,4.0
119,62.0,2.3,1,1.0,1.0
120,300.0,,,,
121,315.0,27.5,2,17.0,17.0
122,211.0,,,,
123,290.0,,6,,
124,95.0,8.0,3,3.0,4.0
125,290.0,,6,,
126,108.0,4.78,2,3.0,
127,290.0,,6,,
128,81.0,6.1,3,3.0,3.0
129,100.0,3.55,,2.0,
130,100.0,6.5,2,4.0,2.0
131,71.0,3.8,3,3.0,3.0
132,106.0,2.17,,,
133,115.0,6.8,4,12.0,
134,120.0,7.8,5,4.0,4.0
135,60.0,3.45,3,4.0,4.0
136,120.0,7.8,5,4.0,4.0
137,60.0,3.45,3,4.0,4.0
138,100.0,4.15,2,3.0,2.0
139,105.0,4.5,3,,
140,80.0,3.4,3,3.0,4.0
141,63.0,5.5,3,3.0,
142,83.4,8.9,3,4.0,3.0
143,149.7,7.1,3,,
144,118.0,11.8,2,3.0,3.0
145,82.5,5.6,3,4.0,3.0
146,1220.0,650.0,25,,
147,85.0,5.95,3,3.0,3.0
148,150.0,14.8,,5.0,
149,289.0,75.0,5,,
150,70.0,12.5,3,3.0,5.0
151,333.6,5.3376,,15.0,
152,70.0,4.75,1,2.0,
153,62.0,5.1,3,3.0,3.0
154,105.0,16.5,1,1.0,1.0
155,108.0,4.95,3,2.0,3.0
156,100.0,2.85,2,3.0,2.0
157,100.0,4.5,3,3.0,3.0
158,100.0,8.0,3,3.0,3.0
159,250.0,5.9,3,3.0,3.0
160,50.0,10.8,6,,
161,750.0,35.0,,4.0,4.0
162,97.5,6.6,2,4.0,2.0
163,484.0,27.0,2,2.0,2.0
164,76.3,7.19,3,3.0,4.0
165,87.5,7.95,3,4.0,3.0
166,56.0,6.85,4,4.0,4.0
167,85.0,5.5,2,2.0,2.0
168,105.0,3.85,3,3.0,3.0
169,108.0,19.0,3,4.0,4.0
170,100.0,4.2,3,,
171,95.0,5.15,3,4.0,3.0
172,100.0,4.7,2,3.0,2.0
173,45.0,2.0,1,1.0,1.0
174,52.0,7.5,4,4.0,4.0
175,188.4,26.3,3,,
176,390.0,60.45,3,,
177,327.1,52.0,3,,
178,140.0,35.4,,,
179,100.0,2.95,1,2.0,1.0
180,68.0,5.6,4,4.0,5.0
181,61.0,2.5,,,
182,54.0,1.99,,,
183,70.0,2.6,1,1.0,1.0
184,288.0,27.5,4,7.0,7.0
185,52.0,4.65,3,3.0,2.0
186,60.0,9.8,3,,
187,117.0,,3,6.0,4.0
188,102.0,8.5,3,4.0,4.0
189,108.0,12.5,3,4.0,5.0
190,100.0,10.0,4,5.0,6.0
191,321.5,,3,4.0,4.0
192,348.9,23.0,2,3.0,4.0
193,100.0,4.1,2,3.0,
194,348.9,23.0,3,4.0,3.0
195,623.0,25.0,2,3.0,2.0
196,484.0,25.52,2,2.0,
197,856.0,98.5,2,5.0,6.0
198,300.0,60.0,5,25.0,
199,292.2,65.0,5,,
200,92.0,4.1,2,2.0,1.0
201,90.0,11.9,8,13.0,13.0
202,100.0,4.7,,3.0,2.0
203,84.0,6.25,4,3.0,5.0
204,82.0,8.0,,,
205,101.0,4.5,,1.0,1.0
206,57.0,,1,3.0,2.0
207,175.0,16.5,4,33.0,33.0
208,82.0,10.9,5,8.0,9.0
209,100.0,17.5,7,,
210,288.0,27.5,4,7.0,7.0
211,52.0,4.65,3,3.0,2.0
212,60.0,9.8,3,,
213,117.0,,3,6.0,4.0
214,102.0,8.5,3,4.0,4.0
215,108.0,12.5,3,4.0,5.0
216,100.0,10.0,4,5.0,6.0
217,321.5,,3,4.0,4.0
218,348.9,23.0,2,3.0,4.0
219,100.0,4.1,2,3.0,
220,348.9,23.0,3,4.0,3.0
221,623.0,25.0,2,3.0,2.0
222,484.0,25.52,2,2.0,
223,300.0,60.0,5,25.0,
224,292.2,65.0,5,,
225,92.0,4.1,2,2.0,1.0
226,90.0,11.9,8,13.0,13.0
227,100.0,4.7,,3.0,2.0
228,92.0,4.1,2,2.0,1.0
229,90.0,11.9,8,13.0,13.0
230,100.0,4.7,,3.0,2.0
231,84.0,6.25,4,3.0,5.0
232,82.0,8.0,,,
233,101.0,4.5,,1.0,1.0
234,57.0,,1,3.0,2.0
235,175.0,16.5,4,33.0,33.0
236,82.0,10.9,5,8.0,9.0
237,100.0,17.5,7,,
238,600.0,20.0,3,5.0,
239,623.0,25.0,,2.0,
240,120.0,,4,5.0,5.0
241,300.0,28.2,3,4.0,4.0
242,289.0,27.5,4,7.0,8.0
243,97.5,8.5,2,2.0,2.0
244,100.0,8.5,2,2.0,3.0
245,34.0,2.25,3,2.0,2.0
246,100.0,3.48,2,3.0,2.0
247,75.0,2.7,,2.0,1.0
248,66.0,2.55,1,3.0,2.0
249,170.0,27.0,4,4.0,6.0
250,90.0,5.9,3,3.0,3.0
251,49.3,4.25,,1.0,1.0
252,305.0,,7,,
253,196.0,,5,4.0,
254,100.0,8.0,2,3.0,2.0
255,120.0,9.5,5,9.0,9.0
256,115.0,4.49,1,6.0,6.0
257,250.0,37.0,3,,
258,142.0,,1,2.0,1.0
259,100.0,,2,2.0,2.0
260,250.0,,3,4.0,4.0
261,75.0,,2,3.0,2.0
262,105.0,,4,10.0,10.0
263,250.0,34.0,,,
264,290.0,6.9,7,27.0,20.0
265,100.0,7.0,,,
266,290.0,6.9,7,27.0,20.0
267,100.0,7.0,,,
268,155.0,34.9,9,20.0,20.0
269,150.0,,1,3.0,2.0
270,800.0,,8,20.0,21.0
271,90.0,,5,10.0,10.0
272,95.0,9.6,3,4.0,4.0
273,95.0,4.8,,2.0,1.0
274,215.0,11.9,1,2.0,1.0
275,112.6,4.8,1,2.0,2.0
276,90.0,3.9,2,2.0,2.0
277,300.0,21.0,2,4.0,6.0
278,56.0,5.05,2,3.0,3.0
279,117.5,9.5,2,4.0,2.0
280,70.0,7.0,3,3.0,3.0
281,95.0,6.4,3,5.0,5.0
282,70.0,6.2,4,4.0,6.0
283,95.0,7.7,3,3.0,3.0
284,95.0,6.4,3,5.0,5.0
285,70.0,6.2,4,4.0,6.0
286,100.0,3.35,2,2.0,2.0
287,86.8,8.5,3,3.0,4.0
288,448.0,,2,4.0,4.0
289,60.0,4.0,3,4.0,2.0
290,90.0,16.5,6,11.0,11.0
291,156.0,11.5,3,7.0,6.0
292,135.0,2.2,,3.0,1.0
293,75.0,2.5,2,2.0,2.0
294,111.6,19.1,6,,
295,35.4,2.5,2,2.0,2.0
296,58.0,3.7,4,4.0,4.0
297,76.0,4.9,2,3.0,2.0
