Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Latitude,Longitude,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng
"87,1 m²","4,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,16.088382720947266,108.22888946533203,,,,,
118 m²,"1,61 tỷ",,,Sổ hồng / sổ đỏ,,16.0940787043087,108.100144962148,,,,,
100 m²,"1,74 tỷ",,,,,16.092055,108.104128,7 m,,Tây - Bắc,,
39 m²,Thỏa thuận,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0883827209473,108.228889465332,,,,,
28 m²,"1,17 tỷ",1 phòng,1 phòng,,Đầy đủ,12.297381401062012,109.2187271118164,,,,,
"96,3 m²",Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0890197753906,108.228302001953,,,Đông,Đông,
144 m²,3 tỷ,,,Sổ đỏ/ Sổ hồng,,15.9832468032837,108.252090454102,6 m,"7,5 m",Nam,,
368 m²,Thỏa thuận,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0883827209473,108.228889465332,21 m,33 m,,,3 tầng
115 m²,14 tỷ,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,16.0384103,108.2102949,,27 m,Đông,,3 tầng
105 m²,3 tỷ,,,,,16.0563434658929,108.165672187993,,"7,5 m",Đông - Bắc,,
300 m²,"17,5 tỷ",,,,,16.0462601384725,108.244607176968,,,,,
196 m²,"7,3 tỷ",,,,,15.9858936131307,108.268631030127,10 m,"7,5 m",Nam,,
46 m²,70 triệu/m²,1 phòng,1 phòng,Hợp đồng mua bán,,15.992631912231445,108.26937103271484,,,,,
75 m²,"2,3 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản,16.0534112,108.1487964,"4,35 m","4,5 m",Đông - Nam,,1 tầng
102 m²,"1,95 tỷ",,,Sổ đỏ/ Sổ hồng.,,15.9945907726835,108.239158582695,5 m,7 m,Bắc,,
25.000 m²,2 tỷ,,,Sổ đỏ/ Sổ hồng,,15.9676255636289,108.01598192795,,,,,
108 m²,"2,79 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.100803,108.1330798,9 m,"7,5 m",Đông - Bắc,,
130 m²,"8,5 tỷ",10 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0628848,108.2206714,"4,5 m","5,5 m",,,5 tầng
240 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,16.0545544270336,108.241784259404,8 m,15 m,,,
"71,3 m²","4,9 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,16.088382720947266,108.22888946533203,,,Tây - Nam,Đông - Bắc,
150 m²,45 tỷ,28 phòng,29 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0470276057686,108.249350721023,9 m,20 m,Đông,,8 tầng
100 m²,"2,65 tỷ",,,Sổ đỏ/ Sổ hồng.,,15.9814608395724,108.252712578036,5 m,"5,5 m",Bắc,,
243 m²,"24,5 tỷ",,,Sổ đỏ/ Sổ hồng,,16.0671719,108.2443389,"13,5 m",5 m,Bắc,,
80 m²,"6,1 tỷ",,,Sổ đỏ/ Sổ hồng,,16.0812112,108.2441869,5 m,55 m,Bắc,,
82 m²,"3,9 tỷ",2 phòng,2 phòng,Hợp đồng mua bán.,,16.0388774871826,108.247406005859,,,,,
100 m²,Thỏa thuận,,,,,16.069961547851562,108.24534606933594,,,,,
144 m²,"3,85 tỷ",,,Sổ đỏ/ Sổ hồng.,,15.983246803283691,108.25209045410156,6 m,"7,5 m",Nam,,
100 m²,19 triệu/m²,,,Sổ đỏ/ Sổ hồng,,16.09357261657715,108.12629699707031,5 m,"5,5 m",Đông - Bắc,,
90 m²,"5,7 tỷ",4 phòng,5 phòng,,,16.0786851991851,108.15765566452,5 m,,Đông - Nam,,3 tầng
170 m²,13 tỷ,4 phòng,5 phòng,,,16.0638048780059,108.157676784763,6 m,,,,3 tầng
108 m²,"2,75 tỷ",,,Sổ đỏ/ Sổ hồng,,15.983246803283691,108.25209045410156,6 m,"7,5 m",,,
100 m²,"7,5 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0021802754659,108.219787391669,5 m,"10,5 m",Tây - Nam,Tây - Nam,3 tầng
300 m²,280 triệu,,,,,16.055190817194283,108.23038244247437,,,,,
85 m²,"5,5 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,16.0222963245567,108.210808721764,5 m,"7,5 m",,,2 tầng
100 m²,"3,35 tỷ",,,Sổ đỏ/ Sổ hồng,,16.09357261657715,108.12629699707031,5 m,105 m,Tây - Nam,,
100 m²,"13,9 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.0593997364904,108.230315326219,5 m,15 m,Tây,,
92 m²,"12,8 tỷ",,,Sổ đỏ/ Sổ hồng,,16.0478034755441,108.247027622823,"4,5 m","7,5 m",Tây,,
100 m²,"4,39 tỷ",,,Sổ hồng riêng,,15.9991029196061,108.223736203976,,,,,
69 m²,"1,8 tỷ",2 phòng,2 phòng,,,15.983246803283691,108.25209045410156,,,,,
100 m²,"2,3 tỷ",,,Sổ đỏ/ Sổ hồng,,16.0935726165771,108.12629699707,,"5,5 m",,,
99 m²,"3,56 tỷ",,,Sổ đỏ/ Sổ hồng,,15.983246803283691,108.25209045410156,6 m,15 m,,,
"108,8 m²","7,1 tỷ",2 phòng,,Sổ đỏ/ Sổ hồng.,Đầy đủ.,16.0717067718506,108.229057312012,,,,,
117 m²,12 tỷ,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,16.0574731,108.2465536,5 m,7 m,Tây,Tây,5 tầng
155 m²,19 tỷ,,,Sổ đỏ/ Sổ hồng,,16.0591402457506,108.240186413618,6 m,"7,5 m",Đông,,
147 m²,Thỏa thuận,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,16.0578502499997,108.238889353472,"6,1 m",6 m,Tây,Tây,1 tầng
"59,2 m²","1,49 tỷ",2 phòng,2 phòng,Hợp đồng mua bán.,Cơ bản.,16.09237289428711,108.1265869140625,,,Đông - Nam,Tây - Bắc,
"51,3 m²","5,2 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0555896759033,108.223556518555,,,Đông - Nam,Đông - Nam,
40 m²,"2,59 tỷ",,,,,16.0561561309209,108.2118293176,,3 m,Đông,Đông,2 tầng
247 m²,"8,2 tỷ",,,,,16.0528371856385,108.174596325044,,,,,2 tầng
"64,4 m²","4,7 tỷ",3 phòng,,,,16.0297039097856,108.241949709763,,,,,3 tầng
300 m²,Thỏa thuận,4 phòng,,,,16.02965562512,108.189835565381,,,,,2 tầng
180 m²,"5,1 tỷ",,,,,16.052422506321,108.217523077807,,,,,
100 m²,"8,95 tỷ",7 phòng,4 phòng,,,16.0469739571983,108.173024781773,,,,,3 tầng
100 m²,"6,5 tỷ",,,,,16.0237842675468,108.212580743436,,"10,5 m",,,
100 m²,"5,1 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0745872,108.1749647,5 m,7 m,Tây - Nam,Tây - Nam,2 tầng
"132,5 m²","3,25 tỷ",,,Sổ đỏ/ Sổ hồng.,,15.9825415398612,108.253630604884,5 m,"7,5 m",,,
42 m²,"2,1 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.06861686706543,108.24445343017578,,,,,
100 m²,"4,5 tỷ",,,Sổ hồng riêng,,15.9991328219858,108.223543802438,,,,,
455 m²,30 tỷ,,,Sổ đỏ/ Sổ hồng.,,15.9991125644753,108.223761630481,18 m,"7,5 m",Đông - Bắc,,
84 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.088382720947266,108.22888946533203,,,,,
289 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,16.1031535002123,108.281829136617,10 m,15 m,Đông,,
370 m²,28 tỷ,8 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0178076582192,108.212180601012,14 m,6 m,Đông - Nam,Đông - Nam,4 tầng
70 m²,Thỏa thuận,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0657991510257,108.199160608961,"5,3 m",3 m,Bắc,Bắc,2 tầng
47 m²,"1,15 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,16.0923728942871,108.126586914063,,,Đông - Nam,,
110 m²,"2,4 tỷ",,,Sổ đỏ/ Sổ hồng.,,15.9943895037984,108.238844440883,4 m,"5,5 m",Tây,,
46 m²,8 tỷ,4 phòng,4 phòng,,,16.0600869,108.2135481,,,,,4 tầng
110 m²,3 tỷ,,,,,15.98295783996582,108.2334213256836,,,,,
57 m²,"1,35 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.09237289428711,108.1265869140625,,,Đông - Bắc,Đông - Bắc,
90 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng.,,16.0539230247884,108.246281259482,5 m,10 m,Đông,,
230 m²,22 tỷ,10 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0555174556304,108.237496729639,9 m,"7,5 m",,,2 tầng
"50,1 m²",Thỏa thuận,1 phòng,1 phòng,Đang chờ sổ,Cơ bản,16.0890197753906,108.228302001953,,,Tây - Bắc,Đông - Nam,
218 m²,22 tỷ,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.05558967590332,108.22355651855469,,,,,
47 m²,"3,15 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0594967,108.1858971,5 m,"2,5 m",Đông - Bắc,,3 tầng
108 m²,"15,4 tỷ",,,Sổ đỏ/ Sổ hồng,Cơ bản,16.0883827209473,108.228889465332,,,,,3 tầng
125 m²,"2,55 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.106407165527344,108.10873413085938,5 m,"7,5 m",Đông - Nam,,
600 m²,569 triệu/m²,,,Sổ đỏ/ Sổ hồng,Cơ bản,16.060789,108.2183258,20 m,,Bắc,Đông - Bắc,7 tầng
88 m²,Thỏa thuận,3 phòng,2 phòng,Hợp đồng mua bán,Không nội thất,16.0883827209473,108.228889465332,,,,Đông - Nam,
120 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0416243192563,108.245242387001,6 m,,,,
170 m²,"28,5 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.0526010337001,108.244670714382,10 m,"7,5 m",Đông,,
225 m²,"12,9 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.0621671416251,108.238789450387,11 m,"5,5 m",Tây - Nam,,
