Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Latitude,Longitude,Mặt tiền,Đường vào,Hướng ban công
100 m²,"6,9 tỷ",Tây - Bắc,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,16.0011265,108.2186634,,,
110 m²,"10,7 tỷ",,,,,Sổ đỏ/ Sổ hồng,,16.0384522952657,108.215888309778,6 m,,
150 m²,"16,5 tỷ",Bắc,,33 phòng,33 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0795364091817,108.215187223548,,,
87 m²,"2,89 tỷ",,,,,,,16.059163018658,108.207353854581,,,
5.000 m²,Thỏa thuận,Đông - Bắc,,,,Đang chờ sổ,,15.9609806,108.2892688,180 m,33 m,
"52,9 m²","3,39 tỷ",,,2 phòng,1 phòng,Hợp đồng mua bán,,16.0883827209473,108.228889465332,,,
100 m²,"1,68 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,,16.0914021116776,108.076728031634,5 m,55 m,
70 m²,6 tỷ,,,2 phòng,2 phòng,,,16.08799934387207,108.22093200683594,,,
85 m²,"3,95 tỷ",,,,,Sổ đỏ/ Sổ hồng,,16.0525693767272,108.177715597573,,,
"59,6 m²","1,53 tỷ",Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,16.09237289428711,108.1265869140625,,,Đông - Bắc
315 m²,28 tỷ,,2 tầng,,,,,16.0432963,108.2442865,9 m,"7,5 m",
"142,5 m²","7,5 tỷ",Bắc,1 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0325617669756,108.214177423131,5 m,5 m,
240 m²,20 tỷ,,,,,,,16.0373752,108.2395823,10 m,,
246 m²,45 tỷ,,,,,,,16.0558376,108.2449005,"6,1 m",,
90 m²,13 tỷ,,,,,Sổ đỏ/ Sổ hồng.,,16.0548238064087,108.245145821208,"4,5 m",75 m,
"158,3 m²","8,2 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,16.0046895322484,108.21895459282,,"7,5 m",
"82,5 m²","5,2 tỷ",Tây - Nam,,2 phòng,,Sổ đỏ/ Sổ hồng,,16.0378906,108.2150248,"5,5 m","5,5 m",
175 m²,15 tỷ,Nam,,,,Sổ đỏ/ Sổ hồng.,,16.0774848579991,108.242077097332,10 m,"5,5 m",
100 m²,"6,85 tỷ",Bắc,,,,,,16.0327494040026,108.22935369345,,"7,5 m",
100 m²,Thỏa thuận,Đông - Bắc,3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,15.9989586417166,108.223857547815,5 m,"7,5 m",Đông - Bắc
