Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Latitude,Longitude,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng
55 m²,"3,2 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất.,16.088382720947266,108.22888946533203,,,,,
100 m²,"10,8 tỷ",,,,,16.0199230241596,108.228474703197,,,Tây - Nam,,
100 m²,Thỏa thuận,,,,,16.0727001262478,108.24294728998,5 m,15 m,,,
"127,7 m²",6 tỷ,,,Sổ đỏ/ Sổ hồng.,,16.1087706118184,108.130127968791,5 m,45 m,Đông - Nam,,
5.000 m²,Thỏa thuận,,,Đang chờ sổ,,15.9609806,108.2892688,180 m,33 m,Đông - Bắc,,
72 m²,"12,9 tỷ",,,Sổ đỏ/ Sổ hồng,,16.0515086526581,108.245776000305,,,,,
169 m²,Thỏa thuận,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0635558228886,108.157372927642,"6,1 m",33 m,Đông - Bắc,Đông - Bắc,3 tầng
165 m²,Thỏa thuận,12 phòng,,,,16.0206624,108.1968488,,,,,3 tầng
1.325 m²,Thỏa thuận,,,,,16.0432852,108.2101037,,,,,
360 m²,45 triệu/m²,,,,,16.0994167327881,108.225479125977,,,Tây - Bắc,,
165 m²,26 tỷ,,,Sổ đỏ/ Sổ hồng,,16.0613352,108.211804,12 m,,Tây,,
300 m²,Thỏa thuận,,,,,16.0792406,108.2149453,12 m,,Tây,,
"156,7 m²",Thỏa thuận,,,,,16.0653748,108.2224197,,,Tây,,
"58,6 m²","3,47 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Không nội thất,16.088382720947266,108.22888946533203,,,Tây,Đông,
165 m²,26 tỷ,,,Sổ đỏ/ Sổ hồng.,,16.0509309729399,108.245263493674,9 m,"7,5 m",Tây - Nam,,
210 m²,21 tỷ,,,Sổ đỏ/ Sổ hồng,,16.0699536957891,108.243287978141,10 m,"7,5 m",Đông - Nam,,
"45,5 m²",Thỏa thuận,1 phòng,1 phòng,,Đầy đủ.,16.1001110076904,108.228858947754,,,Đông - Nam,Đông - Nam,
75 m²,"4,2 tỷ",,,Sổ đỏ/ Sổ hồng,,16.0865629,108.2458865,5 m,"5,5 m",Tây,,
90 m²,"7,2 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.0769587,108.2435538,5 m,"5,5 m",Nam,,
240 m²,24 tỷ,,,Sổ đỏ/ Sổ hồng,,16.0799462,108.2458187,12 m,"7,5 m",Đông - Nam,,
"473,1 m²",63 tỷ,,,,,16.0320518,108.2161198,,,,,
250 m²,Thỏa thuận,,,,,16.104507,108.2426056,"12,5 m",,Đông - Bắc,,
242 m²,135 triệu/m²,,,,,16.0879041,108.2463018,,,Đông - Nam,,
180 m²,40 triệu/m²,,,,,16.1007096,108.2295171,,"7,5 m",Đông - Nam,,
100 m²,"3,7 tỷ",,,,,16.0974959,108.2320457,,,Đông - Bắc,,
126 m²,"5,7 tỷ",3 phòng,,,,15.9872702,108.2711235,,,Đông,,2 tầng
53 m²,"4,9 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.05558967590332,108.22355651855469,,,Đông - Nam,Đông - Nam,
53 m²,"4,9 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.05558967590332,108.22355651855469,,,Đông - Nam,Đông - Nam,
100 m²,"4,25 tỷ",,,,,16.0641902076573,108.166748183757,,,,,
"294,5 m²","18,5 tỷ",,,Sổ đỏ/ Sổ hồng.,,,,,"7,5 m",Đông - Bắc,,
"164,8 m²",Thỏa thuận,,,Sổ đỏ/ Sổ hồng.,,16.0535651432084,108.244525474195,9 m,"7,5 m",Tây - Nam,,
125 m²,"8,7 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.0171639907683,108.256722008612,5 m,33 m,Bắc,,
56 m²,"4,2 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cao cấp 5 sao,16.0577201843262,108.223777770996,,,Đông,Đông,
70 m²,Thỏa thuận,2 phòng,2 phòng,Hợp đồng mua bán.,Nội thất cao cấp 5 sao,16.08799934387207,108.22093200683594,,,Đông,Đông - Nam,
123 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,16.0671719,108.2443389,"5,1 m","5,5 m",Đông,,
100 m²,26 tỷ,,,,,16.0597982,108.2304737,,15 m,,,6 tầng
59 m²,"1,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.09237289428711,108.1265869140625,,,Đông - Nam,Tây - Nam,
90 m²,"9,9 tỷ",7 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0303313637089,108.220759246758,5 m,"5,5 m",Đông - Nam,Đông - Nam,5 tầng
"142,5 m²","7,8 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,16.0324512714497,108.213896086032,,,,,2 tầng
53 m²,"3,5 tỷ",1 phòng,2 phòng,Hợp đồng mua bán,Nội thất cơ bản 5 sao.,16.08799934387207,108.22093200683594,,,,Tây - Bắc,
83 m²,"3,6 tỷ",,,,,16.038877487182617,108.24740600585938,,,,,
69 m²,"7,7 tỷ",5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0800351,108.2204507,"5,6 m",,Tây,,4 tầng
64 m²,Thỏa thuận,,,,Đầy đủ,16.1001110076904,108.228858947754,,,,,
"46,5 m²",Thỏa thuận,1 phòng,1 phòng,,Đầy đủ.,16.1001110076904,108.228858947754,,,Tây - Bắc,Đông - Nam,
233 m²,Thỏa thuận,,,,,16.0524914,108.2453694,15 m,"7,5 m",Tây - Bắc,,
82 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0388774871826,108.247406005859,,,Đông - Bắc,Tây - Nam,
82 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0388774871826,108.247406005859,,,Đông - Bắc,Tây - Nam,
117 m²,"2,47 tỷ",,,Sổ đỏ/ Sổ hồng,,15.9891425876987,108.206624556477,5 m,55 m,Tây,,
207 m²,8 tỷ,,,Sổ đỏ/ Sổ hồng,,16.0566463559193,108.185181699579,11 m,"7,5 m",,,
45 m²,"2,5 tỷ",,,Sổ đỏ/ Sổ hồng,Cơ bản,16.0923728942871,108.126586914063,,,,,
"42,2 m²",Thỏa thuận,,,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0686168670654,108.244453430176,,,,,
100 m²,"5,9 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,15.9836654955905,108.211059637501,5 m,"7,5 m",Tây - Bắc,Tây - Bắc,3 tầng
90 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,16.0495737845283,108.247263136755,5 m,"13,5 m",Tây,,
200 m²,"10,5 tỷ",,,Sổ đỏ/ Sổ hồng,,16.0019983,108.2199588,10 m,15 m,Tây - Nam,,
350 m²,20 tỷ,5 phòng,3 phòng,,Full nội thất gỗ.,16.0394515991211,108.249809265137,8 m,30 m,Đông,Tây,3 tầng
134 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,16.0482079350097,108.237936256463,6 m,"10,5 m",Đông,,
143 m²,"1,85 tỷ",,,Sổ đỏ/ Sổ hồng,,15.9787439,108.1997685,"4,5 m",7 m,Đông - Bắc,,
50 m²,5 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0555896759033,108.223556518555,,,,,
55 m²,"2,9 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,16.088382720947266,108.22888946533203,,,,,
90 m²,"3,99 tỷ",,,Sổ đỏ/ Sổ hồng,,16.0770981385166,108.159173623519,5 m,"7,5 m",Tây - Nam,,
"92,5 m²","2,43 tỷ",,,Sổ đỏ/ Sổ hồng,,21.0289486097874,105.852447225903,5 m,,Đông - Nam,,
100 m²,"7,1 tỷ",,,,,16.0096674,108.2573805,5 m,33 m,Đông,,2 tầng
143 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,15.9674589796244,108.211360680865,5 m,5 m,,,
105 m²,Thỏa thuận,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Cao cấp.,16.0388774871826,108.247406005859,,,Đông - Nam,Đông - Nam,
