Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Latitude,Longitude,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Số tầng,Nội thất
100 m²,6 tỷ,6 m,6 m,Sổ đỏ/ Sổ hồng.,16.0414991882411,108.24518572624,,,,,,
100 m²,"4,6 tỷ",5 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0710927076877,108.161826611438,Tây - Nam,,,,,
100 m²,"7,5 tỷ",5 m,30 m,Đã có sổ hồng.,15.9926316,108.269373,Đông,,,,,
150 m²,"4,2 tỷ","7,5 m","7,5 m",Sổ đỏ/ Sổ hồng.,15.9910974502563,108.260215759277,Đông,,,,,
5.000 m²,Thỏa thuận,180 m,33 m,Đang chờ sổ,15.9609806,108.2892688,Đông - Bắc,,,,,
126 m²,"5,8 tỷ","6,3 m","7,5 m",Sổ đỏ/ Sổ hồng,15.9910974502563,108.260215759277,Tây - Nam,,,,,
150 m²,"4,9 tỷ","7,5 m","10,5 m",,15.9910974502563,108.260215759277,Đông - Bắc,,,,,
194 m²,"10,2 tỷ",10 m,"10,5 m",Sổ đỏ/ Sổ hồng.,16.0980885,108.233485,,,,,,
115 m²,Thỏa thuận,5 m,"7,5 m",Sổ đỏ/ Sổ hồng.,16.0170423,108.2307951,Đông - Bắc,,,,,
100 m²,"4,55 tỷ",5 m,10 m,Sổ đỏ/ Sổ hồng,16.0019983,108.2199588,Tây - Nam,,,,,
"249,3 m²","10,7 tỷ","12,02 m",,Sổ đỏ/ Sổ hồng.,16.0135532354899,108.216570897345,Tây - Nam,,,,,
"227,4 m²",75 triệu/m²,10 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0375349264031,108.244238631056,Đông - Bắc,,,,,
110 m²,"7,9 tỷ","5,2 m",7 m,Sổ đỏ/ Sổ hồng,16.0475590094176,108.246877771323,,,,,,
110 m²,10 tỷ,"5,2 m",7 m,Sổ đỏ/ Sổ hồng.,16.055098195896,108.241464986185,,,,,,
152 m²,15 tỷ,"6,5 m",8 m,Sổ đỏ/ Sổ hồng,16.0545296006181,108.241955273557,,,,,,
230 m²,16 tỷ,8 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0590946621924,108.240126166066,,,,,,
375 m²,6 tỷ,15 m,,Sổ đỏ/ Sổ hồng,16.0489343657247,108.148576047162,,,,,,
65 m²,"3,25 tỷ",,,Sổ đỏ/ Sổ hồng.,21.0289486097874,105.852447225903,,,3 phòng,,2 tầng,
100 m²,Thỏa thuận,"8,4 m",4 m,Sổ đỏ/ Sổ hồng,16.0497323352416,108.240743971589,,,2 phòng,1 phòng,1 tầng,Đầy đủ
125 m²,Thỏa thuận,,"11,5 m",Sổ đỏ/ Sổ hồng,16.0270707170823,108.243026890064,Đông - Bắc,,,,,
"227,4 m²",75 triệu/m²,10 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0375349264031,108.244238631056,Đông - Bắc,,,,,
110 m²,"7,9 tỷ","5,2 m",7 m,Sổ đỏ/ Sổ hồng,16.0475590094176,108.246877771323,,,,,,
110 m²,10 tỷ,"5,2 m",7 m,Sổ đỏ/ Sổ hồng.,16.055098195896,108.241464986185,,,,,,
152 m²,15 tỷ,"6,5 m",8 m,Sổ đỏ/ Sổ hồng,16.0545296006181,108.241955273557,,,,,,
230 m²,16 tỷ,8 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0590946621924,108.240126166066,,,,,,
375 m²,6 tỷ,15 m,,Sổ đỏ/ Sổ hồng,16.0489343657247,108.148576047162,,,,,,
65 m²,"3,25 tỷ",,,Sổ đỏ/ Sổ hồng.,21.0289486097874,105.852447225903,,,3 phòng,,2 tầng,
100 m²,Thỏa thuận,"8,4 m",4 m,Sổ đỏ/ Sổ hồng,16.0497323352416,108.240743971589,,,2 phòng,1 phòng,1 tầng,Đầy đủ
125 m²,Thỏa thuận,,"11,5 m",Sổ đỏ/ Sổ hồng,16.0270707170823,108.243026890064,Đông - Bắc,,,,,
70 m²,5 tỷ,5 m,"5,5 m",,16.0473777265081,108.241102630545,,,2 phòng,1 phòng,1 tầng,
428 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng.,16.0261115225849,108.24913504429,,,,,2 tầng,Đầy đủ.
46 m²,"3,05 tỷ",4 m,3 m,Sổ đỏ/ Sổ hồng.,16.0722131,108.2072409,Đông - Nam,Đông - Nam,5 phòng,4 phòng,4 tầng,Cơ bản.
"123,5 m²","6,2 tỷ","7,1 m","7,5 m",Sổ đỏ/ Sổ hồng.,16.0695743,108.1775803,Đông - Nam,Đông - Nam,3 phòng,2 phòng,2 tầng,Cơ bản.
100 m²,"15,8 tỷ",5 m,"10,5 m",Sổ đỏ/ Sổ hồng.,16.0448322,108.2163965,,,3 phòng,3 phòng,3 tầng,Đầy đủ.
71 m²,"11,99 tỷ",5 m,"10,5 m",Sổ đỏ/ Sổ hồng.,16.0346069,108.2184585,,,3 phòng,3 phòng,3 tầng,Đầy đủ.
100 m²,"2,2 tỷ",5 m,"5,5 m",Sổ đỏ/ Sổ hồng.,15.9870817917461,108.235965187732,Tây - Nam,,,,,
312 m²,"13,5 tỷ",15 m,,,16.0802667765163,108.163489137847,,,,,,
100 m²,"2,75 tỷ",,"5,5 m",Sổ đỏ/ Sổ hồng.,,,,,,,,
221 m²,50 triệu/m²,9 m,6 m,Sổ đỏ/ Sổ hồng.,16.067837522901,108.235766990149,Đông - Bắc,,,,,
103 m²,"7,3 tỷ",6 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0377670051856,108.243896493,Tây,,,,,
110 m²,"7,9 tỷ","5,2 m",7 m,Sổ đỏ/ Sổ hồng,16.0475590094176,108.246877771323,,,,,,
110 m²,10 tỷ,"5,2 m",7 m,Sổ đỏ/ Sổ hồng.,16.055098195896,108.241464986185,,,,,,
152 m²,15 tỷ,"6,5 m",8 m,Sổ đỏ/ Sổ hồng,16.0545296006181,108.241955273557,,,,,,
230 m²,16 tỷ,8 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0590946621924,108.240126166066,,,,,,
375 m²,6 tỷ,15 m,,Sổ đỏ/ Sổ hồng,16.0489343657247,108.148576047162,,,,,,
65 m²,"3,25 tỷ",,,Sổ đỏ/ Sổ hồng.,21.0289486097874,105.852447225903,,,3 phòng,,2 tầng,
100 m²,Thỏa thuận,"8,4 m",4 m,Sổ đỏ/ Sổ hồng,16.0497323352416,108.240743971589,,,2 phòng,1 phòng,1 tầng,Đầy đủ
125 m²,Thỏa thuận,,"11,5 m",Sổ đỏ/ Sổ hồng,16.0270707170823,108.243026890064,Đông - Bắc,,,,,
70 m²,5 tỷ,5 m,"5,5 m",,16.0473777265081,108.241102630545,,,2 phòng,1 phòng,1 tầng,
428 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng.,16.0261115225849,108.24913504429,,,,,2 tầng,Đầy đủ.
46 m²,"3,05 tỷ",4 m,3 m,Sổ đỏ/ Sổ hồng.,16.0722131,108.2072409,Đông - Nam,Đông - Nam,5 phòng,4 phòng,4 tầng,Cơ bản.
"123,5 m²","6,2 tỷ","7,1 m","7,5 m",Sổ đỏ/ Sổ hồng.,16.0695743,108.1775803,Đông - Nam,Đông - Nam,3 phòng,2 phòng,2 tầng,Cơ bản.
