Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Longitude,Latitude
150 m²,45 tỷ,10 m,30 m,8 tầng,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,,,,
246 m²,42 tỷ,12 m,15 m,,,,,,Tây,,108.2208107,16.0493985
7.320 m²,265 tỷ,140 m,21 m,,,,,,,,108.2787810516,16.1292639719952
128 m²,"12,9 tỷ",8 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây,,108.2466488,16.0702924
220 m²,"14,5 tỷ",11 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.16644287109375,16.08125114440918
468 m²,30 triệu/m²,,,,,,,,,,108.25209045410156,15.983246803283691
128 m²,"4,35 tỷ",5 m,"7,5 m",3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông,108.2127525,15.979309
81 m²,"5,35 tỷ",,"10,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,,108.160898774738,16.0778901119078
82 m²,"2,45 tỷ",5 m,3 m,3 tầng,5 phòng,5 phòng,,,,,108.133530488633,16.0792795536754
65 m²,"2,2 tỷ",5 m,3 m,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.166800308805,16.0642695894837
105 m²,"4,15 tỷ",5 m,,,,,,,Đông,,108.2549201,16.016571
"249,1 m²",45 triệu/m²,7 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây,,108.238303150527,16.0443738113856
100 m²,"2,85 tỷ",5 m,3 m,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.181214691886,16.0483424673609
352 m²,14 tỷ,,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.1742953,16.0610952
"140,6 m²","7,5 tỷ","8,3 m",15 m,3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Tây - Bắc,108.144726316052,16.0857232458952
116 m²,"4,2 tỷ","5,8 m","7,5 m",,,,,,Tây - Bắc,,108.2542309,16.0113709
218 m²,"6,95 tỷ",105 m,"10,5 m",,,,Sổ đỏ/ Sổ hồng.,,Bắc,,108.251903112978,15.9815898694919
176 m²,"4,5 tỷ",9 m,105 m,,,,Sổ đỏ/ Sổ hồng.,,Nam,,108.268952396307,15.9808445609787
100 m²,Thỏa thuận,5 m,,,,,,,Tây,,108.23546989211,16.0459163241755
90 m²,"3,45 tỷ",5 m,55 m,,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.160205870568,16.0784384351341
"183,5 m²",Thỏa thuận,"10,4 m","7,5 m",,,,,,Nam,,108.2292908,16.1011214
"88,8 m²",Thỏa thuận,,3 m,,,,,,,,108.13535792941,16.0999740934547
"107,5 m²","3,25 tỷ",5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.149322562398,16.0871315694242
"77,1 m²",Thỏa thuận,,,,2 phòng,2 phòng,,,,,108.230476379395,16.0597953796387
120 m²,12 tỷ,6 m,,4 tầng,,,Sổ đỏ/ Sổ hồng,Không nội thất,Tây - Bắc,,108.224235534668,16.033109664917
"73,8 m²","5,4 tỷ",,,,2 phòng,2 phòng,Đang chờ sổ,Đầy đủ.,,,108.245346069336,16.0699615478516
60 m²,"9,5 tỷ",5 m,5 m,4 tầng,7 phòng,8 phòng,Sổ đỏ/ Sổ hồng,,,,108.24406968321,16.0506109762731
128 m²,"5,5 tỷ",5 m,"10,5 m",,,,,,,,108.2310586,16.0910663
130 m²,"3,8 tỷ",,,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Đông - Nam,Bắc,108.2203369140625,16.08021354675293
100 m²,"5,7 tỷ",,"10,5 m",,,,Sổ đỏ.,,,,108.2345243,16.0909448
100 m²,"4,39 tỷ",5 m,"5,5 m",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông,108.209362982903,15.9890841231853
125 m²,"4,3 tỷ",5 m,"7,5 m",2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Tây - Bắc,Tây - Bắc,108.2192874,15.9990114
295 m²,145 triệu/m²,11 m,"7,5 m",,,,,,Bắc,,108.2423258,16.0755114
50 m²,"4,2 tỷ",4 m,4 m,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,"Nhà đẹp nội thất xịn sò, để lại toàn bộ nội thất.",,,108.218183830425,16.0522570035554
"124,6 m²",6 tỷ,"6,5 m","10,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông,,108.211027050262,15.9900262816462
"124,6 m²",6 tỷ,"6,5 m","10,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông,,108.211027050262,15.9900262816462
50 m²,"4,2 tỷ",4 m,4 m,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,,108.217778555555,16.0519135059121
450 m²,27 tỷ,15 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây,,108.265737533569,15.9735925883001
187 m²,"3,55 tỷ","5,5 m",,,,,,,,,108.236148211905,15.9872777583043
153 m²,"3,85 tỷ",,"7,5 m",,,,Đang chờ sổ,,Tây - Nam,,108.2544024,15.9916882
700 m²,40 tỷ,21 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây,,108.266338348389,15.9709520381367
108 m²,3 tỷ,6 m,,,,,,,,,108.2640209198,15.9711995911942
65 m²,"2,2 tỷ",5 m,"2,5 m",1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.166787847504,16.0642136722608
586 m²,150 tỷ,"15,5 m",40 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Nam,,108.216523912623,16.0611089886026
110 m²,"17,99 tỷ",6 m,"7,5 m",3 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,,,108.245351390372,16.0525208555029
78 m²,Thỏa thuận,,,,,,Sổ đỏ/ Sổ hồng.,,,,108.1813566,16.0483097
56 m²,"3,07 tỷ",,,,1 phòng,1 phòng,Hợp đồng mua bán,,,,108.22888946533203,16.088382720947266
155 m²,17 tỷ,"6,43 m","7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.2400425,16.0591364
90 m²,Thỏa thuận,"6,25 m","3,75 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.2430689,16.047857
60 m²,"4,98 tỷ",,,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.239639482881,16.0493182699575
125 m²,"8,5 tỷ",5 m,33 m,,,,Sổ đỏ/ Sổ hồng,,Bắc,,108.2569285,16.0172681
253 m²,Thỏa thuận,15 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.2454849,16.0616993
94 m²,"13,6 tỷ",5 m,33 m,4 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Bắc,Bắc,108.2161198,16.0320518
90 m²,Thỏa thuận,5 m,"5,5 m",4 tầng,7 phòng,8 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,Tây,Tây,108.246848,16.0489176
294 m²,145 triệu/m²,"11,8 m","7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,,108.2423258,16.0755114
294 m²,145 triệu/m²,"11,8 m","7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,,108.2423258,16.0755114
169 m²,Thỏa thuận,"6,1 m",7 m,,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.252364750795,16.0333899079715
117 m²,"3,2 tỷ",,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Bắc,108.21044158935547,16.062366485595703
"160,1 m²",32 tỷ,8 m,"5,5 m",,,,,,,,108.2453694,16.0524914
"102,5 m²",3 tỷ,,"7,5 m",,,,,,Đông,,108.272288,15.9823844
90 m²,"20,5 tỷ",5 m,"13,5 m",,,,,,Tây,,108.246981498436,16.0491149202715
65 m²,"3,1 tỷ",,2 m,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,,,
79 m²,"4,8 tỷ",5 m,"10,5 m",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,108.240754615237,16.098331773354
99 m²,46 triệu/m²,6 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.23339080810547,16.032602310180664
90 m²,"3,5 tỷ",5 m,"5,5 m",2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam,108.1727379,16.0500227
103 m²,"6,15 tỷ",5 m,33 m,,,,,,Tây,,108.220233761099,16.0016580763265
312 m²,"13,49 tỷ",15 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.163850482127,16.0802135058959
100 m²,"6,8 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,,,108.2327545091,16.0753113196229
200 m²,"15,5 tỷ",10 m,"7,5 m",2 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Tây - Bắc,108.24016571044922,16.029903411865234
140 m²,34 tỷ,7 m,15 m,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Đông - Bắc,Đông - Bắc,108.249806806253,16.0470845613294
