price,area,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ,Thuộc dự án
"14,5 tỷ","416 m
2",15171311,_,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Giấy tờ hợp lệ,1.0,13m,2,1.0,32m,2,,
"6,5 tỷ","125 m
2",15062236,Tây Nam,1.0,Cần bán,33m,1.0,Nhà mặt tiền,Giấy tờ hợp lệ,1.0,5m,2,1.0,25m,5,1.0,
"12,95 tỷ","115 m
2",15176003,_,1.0,Cần bán,10m,1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,1,1.0,23m,3,,
"5,6 tỷ","68 m
2",15067393,_,,Cần bán,"7,5m",,Nhà mặt tiền,,,6m,3,,,4,,
"22,5 tỷ","90 m
2",15163297,_,,Cần bán,"5,5m",,Nhà mặt tiền,,,5m,3,,,7,,
"10,5 tỷ","180 m
2",14018158,Đông Nam,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,10m,3,1.0,18m,4,,
25 tỷ,"164 m
2",14562037,_,1.0,Cần bán,"5,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,8m,6,1.0,"17,5m",15,,
"10,9 tỷ","81 m
2",14555874,Tây,1.0,Cần bán,"5,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,5,1.0,"16,2m",7,,
10 tỷ,"80 m
2",14982471,Đông,1.0,Cần bán,"10,m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,4m,2,1.0,20m,3,,
"5,5 tỷ","90 m
2",14987727,Tây,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,2,1.0,18m,3,,
"5,9 tỷ","75 m
2",15056105,Nam,1.0,Cần bán,"5,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,4,1.0,15m,3,,
"9,3 tỷ","93 m
2",14547585,Nam,1.0,Cần bán,"10,m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,3,1.0,"18,6m",3,,
"4,5 tỷ","100 m
2",15152904,Tây,1.0,Cần bán,"5,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,,1.0,20m,,,
