price,area,road_width,floors,bedroom,loc,garage
": 5,5 tỷ","75 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Vũ Quỳnh, Phường Hòa Minh, Quận Liên Chiểu,",0
": 5,5 tỷ","70 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Bùi Viện, Phường Hòa Cường Nam, Quận Hải Châu,",0
": 5,1 tỷ","75 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Vũ Quỳnh, Phường Thanh Khê Tây, Quận Thanh Khê,",0
": 5,9 tỷ","100 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Thanh Lương 9, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 3,75 tỷ","70 m
2",3m,2 lầu,2 phòng ngủ,"Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê,",0
": 3,35 tỷ","60 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Đình Lý, Phường Hòa Thuận Đông, Quận Hải Châu,",0
": 3,3 tỷ","60 m
2",4m,2 lầu,4 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 2,999 tỷ","60 m
2",4m,2 lầu,3 phòng ngủ,"Đường Dũng Sĩ Thanh Khê, Phường An Khê, Quận Thanh Khê,",0
": 3,75 tỷ","50 m
2",3m,3 lầu,3 phòng ngủ,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 3,75 tỷ","60 m
2",3m,3 lầu,4 phòng ngủ,"Đường Lê Độ, Phường Chính Gián, Quận Thanh Khê,",0
": 2,6 tỷ","60 m
2",4m,2 lầu,2 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",0
": 2,69 tỷ","41 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Đình Lý, Phường Hòa Thuận Đông, Quận Hải Châu,",0
": 2,9 tỷ","45 m
2",3m,3 lầu,3 phòng ngủ,"Đường Ngô Quyền, Phường Mân Thái, Quận Sơn Trà,",0
": 3,5 tỷ","55 m
2",4m,2 lầu,3 phòng ngủ,"Đường Lê Tấn Trung., Phường Mân Thái, Quận Sơn Trà,",0
": 4,05 tỷ","107 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Bàu Mạc 7, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",0
": 29,5 tỷ","474 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 5,5 tỷ","75 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
: 59 tỷ,"200 m
2",15m,,,"Đường Nguyễn Văn Thoại, Phường Phước Mỹ, Quận Sơn Trà,",0
": 3,8 tỷ","54 m
2",3m,3 lầu,2 phòng ngủ,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu,",0
": 2,05 tỷ","40 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Trần Cao Vân, Phường Thạc Gián, Quận Thanh Khê,",0
": 2,05 tỷ","40 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Trần Cao Vân, Phường Thạc Gián, Quận Thanh Khê,",0
": 3,9 tỷ","50 m
2",3m,4 lầu,4 phòng ngủ,"Đường Trưng Nữ Vương, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 3,888 tỷ","50 m
2",4m,4 lầu,4 phòng ngủ,"Đường Nguyễn Tri Phương, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 3,7 tỷ","60 m
2",3m,4 lầu,4 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê,",0
": 3,35 tỷ","50 m
2",3m,3 lầu,3 phòng ngủ,"Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê,",0
": 4,6 tỷ","60 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Ngô Gia Khảm, Phường Thanh Khê Đông, Quận Thanh Khê,",0
: 12 tỷ,"160 m
2","7,5m",4 lầu,5 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",0
": 6,3 tỷ","120 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Hồ Nghinh, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 3,45 tỷ","65 m
2",4m,2 lầu,3 phòng ngủ,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu,",chỗ để xe
": 2,35 tỷ","40 m
2",3m,3 lầu,3 phòng ngủ,"Đường Đinh Tiên Hoàng, Phường Thanh Bình, Quận Hải Châu,",chỗ để xe
